city,state,month,avg_max_c,avg_rain_mm
Adelaide,SA,1,31.0,23.2
Adelaide,SA,2,30.0,28.2
Adelaide,SA,3,27.1,35.6
Adelaide,SA,4,23.3,41.8
Adelaide,SA,5,19.2,63.8
Adelaide,SA,6,16.3,63.8
Adelaide,SA,7,15.4,85.9
Adelaide,SA,8,16.6,69.8
Adelaide,SA,9,19.7,52.9
Adelaide,SA,10,23.2,27.3
Adelaide,SA,11,26.5,21.6
Adelaide,SA,12,28.2,35.8
Brisbane,QLD,1,30.3,195.6
Brisbane,QLD,2,30.6,132.0
Brisbane,QLD,3,29.2,141.7
Brisbane,QLD,4,27.2,83.0
Brisbane,QLD,5,24.4,88.1
Brisbane,QLD,6,21.7,75.1
Brisbane,QLD,7,21.6,30.8
Brisbane,QLD,8,23.3,39.3
Brisbane,QLD,9,25.4,39.3
Brisbane,QLD,10,26.8,74.7
Brisbane,QLD,11,28.7,99.7
Brisbane,QLD,12,29.3,141.1
Canberra,ACT,1,30.1,49.3
Canberra,ACT,2,27.7,68.7
Canberra,ACT,3,25.2,60.4
Canberra,ACT,4,20.6,37.3
Canberra,ACT,5,16.7,25.5
Canberra,ACT,6,13.5,47.8
Canberra,ACT,7,12.4,40.4
Canberra,ACT,8,14.1,42.0
Canberra,ACT,9,17.7,57.6
Canberra,ACT,10,21.2,45.6
Canberra,ACT,11,25.3,71.5
Canberra,ACT,12,26.9,87.2
Darwin,NT,1,32.0,453.4
Darwin,NT,2,31.9,472.8
Darwin,NT,3,32.5,266.3
Darwin,NT,4,33.2,100.2
Darwin,NT,5,32.4,26.2
Darwin,NT,6,31.2,0.1
Darwin,NT,7,31.4,0.0
Darwin,NT,8,32.1,0.3
Darwin,NT,9,33.4,19.2
Darwin,NT,10,34.0,83.6
Darwin,NT,11,33.7,155.1
Darwin,NT,12,32.7,329.8
Hobart,TAS,1,23.1,43.3
Hobart,TAS,2,22.5,31.6
Hobart,TAS,3,21.4,39.3
Hobart,TAS,4,18.6,26.2
Hobart,TAS,5,15.3,49.9
Hobart,TAS,6,13.2,54.3
Hobart,TAS,7,12.8,51.4
Hobart,TAS,8,14.0,61.0
Hobart,TAS,9,16.3,60.6
Hobart,TAS,10,17.9,52.7
Hobart,TAS,11,19.3,61.5
Hobart,TAS,12,21.1,47.4
Melbourne,VIC,1,27.9,25.4
Melbourne,VIC,2,27.2,52.9
Melbourne,VIC,3,25.6,45.1
Melbourne,VIC,4,21.5,56.6
Melbourne,VIC,5,17.9,42.7
Melbourne,VIC,6,15.1,51.4
Melbourne,VIC,7,14.9,44.5
Melbourne,VIC,8,16.0,47.5
Melbourne,VIC,9,18.6,57.0
Melbourne,VIC,10,20.9,55.1
Melbourne,VIC,11,23.7,71.1
Melbourne,VIC,12,25.0,60.4
Perth,WA,1,32.4,15.1
Perth,WA,2,32.1,24.2
Perth,WA,3,29.8,20.0
Perth,WA,4,26.4,33.4
Perth,WA,5,22.3,91.8
Perth,WA,6,19.8,106.1
Perth,WA,7,18.4,133.3
Perth,WA,8,19.7,101.6
Perth,WA,9,20.7,82.4
Perth,WA,10,24.3,31.0
Perth,WA,11,27.0,29.3
Perth,WA,12,29.4,16.3
Sydney,NSW,1,27.5,97.0
Sydney,NSW,2,26.9,122.5
Sydney,NSW,3,25.9,139.0
Sydney,NSW,4,23.5,155.8
Sydney,NSW,5,21.2,75.5
Sydney,NSW,6,18.4,171.5
Sydney,NSW,7,18.0,88.4
Sydney,NSW,8,19.3,66.8
Sydney,NSW,9,22.0,54.3
Sydney,NSW,10,23.5,66.8
Sydney,NSW,11,24.9,86.1
Sydney,NSW,12,25.8,74.2
